sample_id,image,radgraph_simple,radgraph_partial,radgraph_complete
ctchat_valid_0079,valid_38_a_2.nii.gz,0.2581,0.2454,0.2099
ctchat_valid_0080,valid_39_a_1.nii.gz,0.0962,0.0741,0.0492
ctchat_valid_0081,valid_39_a_2.nii.gz,0.1034,0.1008,0.0735
ctchat_valid_0082,valid_40_a_1.nii.gz,0.0698,0.0682,0.0196
ctchat_valid_0083,valid_40_a_2.nii.gz,0.1818,0.1333,0.0577
ctchat_valid_0084,valid_41_a_1.nii.gz,0.0522,0.065,0.028
ctchat_valid_0085,valid_41_a_2.nii.gz,0.1186,0.08,0.0533
ctchat_valid_0086,valid_41_b_1.nii.gz,0.0645,0.0615,0.0571
ctchat_valid_0087,valid_41_b_2.nii.gz,0.0656,0.0635,0.0588
ctchat_valid_0088,valid_42_a_1.nii.gz,0.1013,0.0506,0.0476
ctchat_valid_0089,valid_43_a_1.nii.gz,0.1111,0.1081,0.0763
ctchat_valid_0090,valid_43_a_2.nii.gz,0.0909,0.0893,0.0602
ctchat_valid_0091,valid_44_a_1.nii.gz,0.4468,0.3505,0.2353
ctchat_valid_0092,valid_44_a_2.nii.gz,0.3256,0.2921,0.1505
ctchat_valid_0093,valid_45_a_1.nii.gz,0.1867,0.1579,0.0899
ctchat_valid_0094,valid_45_a_2.nii.gz,0.1449,0.1449,0.0494
ctchat_valid_0095,valid_46_a_1.nii.gz,0.3918,0.3878,0.3243
ctchat_valid_0096,valid_46_a_2.nii.gz,0.4082,0.3838,0.3393
ctchat_valid_0097,valid_47_a_1.nii.gz,0.1765,0.1714,0.1071
ctchat_valid_0098,valid_47_a_2.nii.gz,0.1765,0.1714,0.1071
ctchat_valid_0099,valid_48_a_1.nii.gz,0.2299,0.1818,0.1569
ctchat_valid_0100,valid_48_a_2.nii.gz,0.3789,0.3299,0.3119
